anio;variable;valor_GWh
1992;demanda_agentes_mem;49714.6
1993;demanda_agentes_mem;52660.4
1994;demanda_agentes_mem;55995.0
1995;demanda_agentes_mem;58012.2
1996;demanda_agentes_mem;62018.0
1997;demanda_agentes_mem;66031.1
1998;demanda_agentes_mem;69103.0
1999;demanda_agentes_mem;71689.0
2000;demanda_agentes_mem;75592.0
2001;demanda_agentes_mem;78102.9
2002;demanda_agentes_mem;76486.4
2003;demanda_agentes_mem;82260.3
2004;demanda_agentes_mem;87493.9
2005;demanda_agentes_mem;92387.5
2006;demanda_agentes_mem;97593.0
2007;demanda_agentes_mem;102960.0
2008;demanda_agentes_mem;105934.6
2009;demanda_agentes_mem;104604.7
2010;demanda_agentes_mem;110774.7
2011;demanda_agentes_mem;116507.0
2012;demanda_agentes_mem;121192.1
2013;demanda_agentes_mem;125220.1
2014;demanda_agentes_mem;126467.1
2015;demanda_agentes_mem;132109.6
2016;demanda_agentes_mem;133110.8
2017;demanda_agentes_mem;132530.2
2018;demanda_agentes_mem;133007.8
2019;demanda_agentes_mem;32527.2
1992;demanda_exportacion;12.0
1993;demanda_exportacion;14.0
1994;demanda_exportacion;15.0
1995;demanda_exportacion;191.0
1996;demanda_exportacion;311.0
1997;demanda_exportacion;273.0
1998;demanda_exportacion;79.0
1999;demanda_exportacion;712.0
2000;demanda_exportacion;4715.0
2001;demanda_exportacion;4201.0
2002;demanda_exportacion;1009.0
2003;demanda_exportacion;437.0
2004;demanda_exportacion;1938.0
2005;demanda_exportacion;1362.0
2006;demanda_exportacion;2100.0
2007;demanda_exportacion;578.0
2008;demanda_exportacion;1618.5
2009;demanda_exportacion;1292.1
2010;demanda_exportacion;359.3
2011;demanda_exportacion;264.9
2012;demanda_exportacion;279.6
2013;demanda_exportacion;0.4
2014;demanda_exportacion;5.7
2015;demanda_exportacion;55.4
2016;demanda_exportacion;327.2
2017;demanda_exportacion;69.2
2018;demanda_exportacion;280.3
2019;demanda_exportacion;48.8
1992;demanda_bombeo;354.0
1993;demanda_bombeo;491.0
1994;demanda_bombeo;609.0
1995;demanda_bombeo;254.0
1996;demanda_bombeo;130.0
1997;demanda_bombeo;303.0
1998;demanda_bombeo;340.0
1999;demanda_bombeo;474.0
2000;demanda_bombeo;132.0
2001;demanda_bombeo;40.0
2002;demanda_bombeo;64.0
2003;demanda_bombeo;47.0
2004;demanda_bombeo;145.0
2005;demanda_bombeo;432.0
2006;demanda_bombeo;348.0
2007;demanda_bombeo;571.0
2008;demanda_bombeo;536.5
2009;demanda_bombeo;714.2
2010;demanda_bombeo;554.2
2011;demanda_bombeo;566.2
2012;demanda_bombeo;722.8
2013;demanda_bombeo;499.7
2014;demanda_bombeo;485.2
2015;demanda_bombeo;578.1
2016;demanda_bombeo;464.8
2017;demanda_bombeo;400.7
2018;demanda_bombeo;282.5
2019;demanda_bombeo;68.1
1992;demanda_perdidas_consumos;3973.4
1993;demanda_perdidas_consumos;5282.8
1994;demanda_perdidas_consumos;5856.8
1995;demanda_perdidas_consumos;6229.8
1996;demanda_perdidas_consumos;6291.8
1997;demanda_perdidas_consumos;7166.8
1998;demanda_perdidas_consumos;6967.7
1999;demanda_perdidas_consumos;3001.6
2000;demanda_perdidas_consumos;3311.0
2001;demanda_perdidas_consumos;3663.5
2002;demanda_perdidas_consumos;3775.0
2003;demanda_perdidas_consumos;3698.2
2004;demanda_perdidas_consumos;3709.0
2005;demanda_perdidas_consumos;3978.6
2006;demanda_perdidas_consumos;4586.0
2007;demanda_perdidas_consumos;4373.0
2008;demanda_perdidas_consumos;4292.5
2009;demanda_perdidas_consumos;4722.1
2010;demanda_perdidas_consumos;4046.4
2011;demanda_perdidas_consumos;3894.0
2012;demanda_perdidas_consumos;3609.9
2013;demanda_perdidas_consumos;4099.3
2014;demanda_perdidas_consumos;4247.0
2015;demanda_perdidas_consumos;4114.0
2016;demanda_perdidas_consumos;4166.8
2017;demanda_perdidas_consumos;4198.5
2018;demanda_perdidas_consumos;4254.5
2019;demanda_perdidas_consumos;1056.7
1992;demanda_total;54054.0
1993;demanda_total;58448.2
1994;demanda_total;62475.7
1995;demanda_total;64687.1
1996;demanda_total;68750.8
1997;demanda_total;73773.9
1998;demanda_total;76489.7
1999;demanda_total;75876.6
2000;demanda_total;83750.0
2001;demanda_total;86007.4
2002;demanda_total;81334.4
2003;demanda_total;86442.4
2004;demanda_total;93285.9
2005;demanda_total;98160.1
2006;demanda_total;104627.0
2007;demanda_total;108482.0
2008;demanda_total;112382.2
2009;demanda_total;111333.1
2010;demanda_total;115734.5
2011;demanda_total;121232.1
2012;demanda_total;125804.4
2013;demanda_total;129819.6
2014;demanda_total;131204.9
2015;demanda_total;136857.1
2016;demanda_total;138069.6
2017;demanda_total;137198.6
2018;demanda_total;137825.1
2019;demanda_total;33700.7
1992;racionamiento_tension;122.0
1993;racionamiento_tension;43.0
1994;racionamiento_tension;9.0
1995;racionamiento_tension;5.0
1996;racionamiento_tension;1.0
1997;racionamiento_tension;0.0
1998;racionamiento_tension;0.0
1999;racionamiento_tension;0.0
2000;racionamiento_tension;0.0
2001;racionamiento_tension;0.0
2002;racionamiento_tension;0.0
2003;racionamiento_tension;0.0
2004;racionamiento_tension;0.0
2005;racionamiento_tension;0.0
2006;racionamiento_tension;0.0
2007;racionamiento_tension;0.0
2008;racionamiento_tension;0.0
2009;racionamiento_tension;0.0
2010;racionamiento_tension;0.0
2011;racionamiento_tension;0.0
2012;racionamiento_tension;0.0
2013;racionamiento_tension;0.0
2014;racionamiento_tension;0.0
2015;racionamiento_tension;0.0
2016;racionamiento_tension;0.0
2017;racionamiento_tension;0.0
2018;racionamiento_tension;0.0
2019;racionamiento_tension;0.0
1992;racionamiento_cortes;3.0
1993;racionamiento_cortes;14.0
1994;racionamiento_cortes;15.0
1995;racionamiento_cortes;14.0
1996;racionamiento_cortes;4.0
1997;racionamiento_cortes;8.0
1998;racionamiento_cortes;2.0
1999;racionamiento_cortes;14.0
2000;racionamiento_cortes;8.0
2001;racionamiento_cortes;8.0
2002;racionamiento_cortes;14.0
2003;racionamiento_cortes;0.0
2004;racionamiento_cortes;0.0
2005;racionamiento_cortes;0.0
2006;racionamiento_cortes;0.0
2007;racionamiento_cortes;0.0
2008;racionamiento_cortes;0.0
2009;racionamiento_cortes;0.0
