anio;mes;balance;tipo;energia_MWh
2012;1/1/2012;OFERTA;Hidráulica;2852144.3
2012;1/1/2012;OFERTA;Importacion;9588.5
2012;1/1/2012;OFERTA;Nuclear;589178.1
2012;1/1/2012;OFERTA;Renovable;20935.2
2012;1/1/2012;OFERTA;Térmica;7774681.8
2012;2/1/2012;OFERTA;Hidráulica;2708706.9
2012;2/1/2012;OFERTA;Importacion;11684.6
2012;2/1/2012;OFERTA;Nuclear;529990.5
2012;2/1/2012;OFERTA;Renovable;22930.5
2012;2/1/2012;OFERTA;Térmica;7200748.1
2012;3/1/2012;OFERTA;Hidráulica;2875206.9
2012;3/1/2012;OFERTA;Importacion;80551.5
2012;3/1/2012;OFERTA;Nuclear;521135.2
2012;3/1/2012;OFERTA;Renovable;28593.3
2012;3/1/2012;OFERTA;Térmica;7110303.6
2012;4/1/2012;OFERTA;Hidráulica;2585196.2
2012;4/1/2012;OFERTA;Importacion;22035.1
2012;4/1/2012;OFERTA;Nuclear;297085.8
2012;4/1/2012;OFERTA;Renovable;32055.3
2012;4/1/2012;OFERTA;Térmica;6358907.1
2012;5/1/2012;OFERTA;Hidráulica;2663988.8
2012;5/1/2012;OFERTA;Importacion;13896.4
2012;5/1/2012;OFERTA;Nuclear;355669.4
2012;5/1/2012;OFERTA;Renovable;42201.7
2012;5/1/2012;OFERTA;Térmica;7007888.7
2012;6/1/2012;OFERTA;Hidráulica;3607039.3
2012;6/1/2012;OFERTA;Importacion;13105.9
2012;6/1/2012;OFERTA;Nuclear;529540.1
2012;6/1/2012;OFERTA;Renovable;53834.2
2012;6/1/2012;OFERTA;Térmica;6599175.7
2012;7/1/2012;OFERTA;Hidráulica;4033536.7
2012;7/1/2012;OFERTA;Importacion;13137.1
2012;7/1/2012;OFERTA;Nuclear;612156.2
2012;7/1/2012;OFERTA;Renovable;59444.5
2012;7/1/2012;OFERTA;Térmica;6795018.5
2012;8/1/2012;OFERTA;Hidráulica;3395652.7
2012;8/1/2012;OFERTA;Importacion;13865.6
2012;8/1/2012;OFERTA;Nuclear;614028.0
2012;8/1/2012;OFERTA;Renovable;42548.6
2012;8/1/2012;OFERTA;Térmica;6695927.6
2012;9/1/2012;OFERTA;Hidráulica;2561887.6
2012;9/1/2012;OFERTA;Importacion;12706.6
2012;9/1/2012;OFERTA;Nuclear;590222.5
2012;9/1/2012;OFERTA;Renovable;53675.5
2012;9/1/2012;OFERTA;Térmica;6425731.4
2012;10/1/2012;OFERTA;Hidráulica;3137191.6
2012;10/1/2012;OFERTA;Importacion;152925.4
2012;10/1/2012;OFERTA;Nuclear;390465.9
2012;10/1/2012;OFERTA;Renovable;53166.1
2012;10/1/2012;OFERTA;Térmica;6210835.7
2012;11/1/2012;OFERTA;Hidráulica;3029099.5
2012;11/1/2012;OFERTA;Importacion;65969.4
2012;11/1/2012;OFERTA;Nuclear;273483.1
2012;11/1/2012;OFERTA;Renovable;57674.8
2012;11/1/2012;OFERTA;Térmica;6987360.9
2012;12/1/2012;OFERTA;Hidráulica;3174674.3
2012;12/1/2012;OFERTA;Importacion;13297.8
2012;12/1/2012;OFERTA;Nuclear;601127.8
2012;12/1/2012;OFERTA;Renovable;54789.7
2012;12/1/2012;OFERTA;Térmica;7344557.3
2013;1/1/2013;OFERTA;Hidráulica;3390971.3
2013;1/1/2013;OFERTA;Importacion;13484.1
2013;1/1/2013;OFERTA;Nuclear;578964.9
2013;1/1/2013;OFERTA;Renovable;44725.9
2013;1/1/2013;OFERTA;Térmica;7442479.3
2013;2/1/2013;OFERTA;Hidráulica;2514931.7
2013;2/1/2013;OFERTA;Importacion;11952.1
2013;2/1/2013;OFERTA;Nuclear;521978.4
2013;2/1/2013;OFERTA;Renovable;41620.3
2013;2/1/2013;OFERTA;Térmica;7087345.6
2013;3/1/2013;OFERTA;Hidráulica;2927989.7
2013;3/1/2013;OFERTA;Importacion;12511.1
2013;3/1/2013;OFERTA;Nuclear;470968.3
2013;3/1/2013;OFERTA;Renovable;47790.8
2013;3/1/2013;OFERTA;Térmica;6635506.8
2013;4/1/2013;OFERTA;Hidráulica;2814101.4
2013;4/1/2013;OFERTA;Importacion;10571.3
2013;4/1/2013;OFERTA;Nuclear;384700.5
2013;4/1/2013;OFERTA;Renovable;38198.8
2013;4/1/2013;OFERTA;Térmica;6424981.3
2013;5/1/2013;OFERTA;Hidráulica;3021112.2
2013;5/1/2013;OFERTA;Importacion;12280.8
2013;5/1/2013;OFERTA;Nuclear;388120.2
2013;5/1/2013;OFERTA;Renovable;52217.0
2013;5/1/2013;OFERTA;Térmica;7129425.9
2013;6/1/2013;OFERTA;Hidráulica;2967984.0
2013;6/1/2013;OFERTA;Importacion;10568.1
2013;6/1/2013;OFERTA;Nuclear;590635.0
2013;6/1/2013;OFERTA;Renovable;60613.1
2013;6/1/2013;OFERTA;Térmica;7071583.7
2013;7/1/2013;OFERTA;Hidráulica;3709504.2
2013;7/1/2013;OFERTA;Importacion;12614.9
2013;7/1/2013;OFERTA;Nuclear;590410.2
2013;7/1/2013;OFERTA;Renovable;66587.8
2013;7/1/2013;OFERTA;Térmica;7192057.1
2013;8/1/2013;OFERTA;Hidráulica;3567153.6
2013;8/1/2013;OFERTA;Importacion;12144.5
2013;8/1/2013;OFERTA;Nuclear;584013.0
2013;8/1/2013;OFERTA;Renovable;77412.0
2013;8/1/2013;OFERTA;Térmica;7034911.2
2013;9/1/2013;OFERTA;Hidráulica;4256591.4
2013;9/1/2013;OFERTA;Importacion;11206.2
2013;9/1/2013;OFERTA;Nuclear;580441.4
2013;9/1/2013;OFERTA;Renovable;65720.5
2013;9/1/2013;OFERTA;Térmica;5709922.7
2013;10/1/2013;OFERTA;Hidráulica;3690089.0
2013;10/1/2013;OFERTA;Importacion;12137.4
2013;10/1/2013;OFERTA;Nuclear;379490.8
2013;10/1/2013;OFERTA;Renovable;74970.3
2013;10/1/2013;OFERTA;Térmica;6277697.0
2013;11/1/2013;OFERTA;Hidráulica;3621630.5
2013;11/1/2013;OFERTA;Importacion;161232.3
2013;11/1/2013;OFERTA;Nuclear;242561.0
2013;11/1/2013;OFERTA;Renovable;66582.3
2013;11/1/2013;OFERTA;Térmica;6325262.9
2013;12/1/2013;OFERTA;Hidráulica;3845423.4
2013;12/1/2013;OFERTA;Importacion;61606.0
2013;12/1/2013;OFERTA;Nuclear;420209.7
2013;12/1/2013;OFERTA;Renovable;70117.4
2013;12/1/2013;OFERTA;Térmica;8380428.8
2014;1/1/2014;OFERTA;Hidráulica;3285139.5
2014;1/1/2014;OFERTA;Importacion;102443.5
2014;1/1/2014;OFERTA;Nuclear;594099.1
2014;1/1/2014;OFERTA;Renovable;67317.5
2014;1/1/2014;OFERTA;Térmica;8407413.9
2014;2/1/2014;OFERTA;Hidráulica;2428222.3
2014;2/1/2014;OFERTA;Importacion;17537.3
2014;2/1/2014;OFERTA;Nuclear;517641.6
2014;2/1/2014;OFERTA;Renovable;63137.9
2014;2/1/2014;OFERTA;Térmica;7153644.3
2014;3/1/2014;OFERTA;Hidráulica;2770572.3
2014;3/1/2014;OFERTA;Importacion;12485.5
2014;3/1/2014;OFERTA;Nuclear;298202.4
2014;3/1/2014;OFERTA;Renovable;69546.3
2014;3/1/2014;OFERTA;Térmica;6965817.0
2014;4/1/2014;OFERTA;Hidráulica;2974700.4
2014;4/1/2014;OFERTA;Importacion;89770.0
2014;4/1/2014;OFERTA;Nuclear;242817.2
2014;4/1/2014;OFERTA;Renovable;62245.9
2014;4/1/2014;OFERTA;Térmica;6586362.6
2014;5/1/2014;OFERTA;Hidráulica;3410416.3
2014;5/1/2014;OFERTA;Importacion;60431.3
2014;5/1/2014;OFERTA;Nuclear;363982.5
2014;5/1/2014;OFERTA;Renovable;64413.7
2014;5/1/2014;OFERTA;Térmica;6897917.0
2014;6/1/2014;OFERTA;Hidráulica;3687849.8
2014;6/1/2014;OFERTA;Importacion;16484.2
2014;6/1/2014;OFERTA;Nuclear;540183.7
2014;6/1/2014;OFERTA;Renovable;66320.2
2014;6/1/2014;OFERTA;Térmica;7003887.0
2014;7/1/2014;OFERTA;Hidráulica;3708555.3
2014;7/1/2014;OFERTA;Importacion;152838.4
2014;7/1/2014;OFERTA;Nuclear;652312.2
2014;7/1/2014;OFERTA;Renovable;62220.1
2014;7/1/2014;OFERTA;Térmica;7208107.5
2014;8/1/2014;OFERTA;Hidráulica;4051811.1
2014;8/1/2014;OFERTA;Importacion;72526.1
2014;8/1/2014;OFERTA;Nuclear;494427.5
2014;8/1/2014;OFERTA;Renovable;78968.3
2014;8/1/2014;OFERTA;Térmica;6204109.8
2014;9/1/2014;OFERTA;Hidráulica;3496643.2
2014;9/1/2014;OFERTA;Importacion;218851.9
2014;9/1/2014;OFERTA;Nuclear;224572.0
2014;9/1/2014;OFERTA;Renovable;84703.5
2014;9/1/2014;OFERTA;Térmica;6153000.6
2014;10/1/2014;OFERTA;Hidráulica;3804950.8
2014;10/1/2014;OFERTA;Importacion;313655.6
2014;10/1/2014;OFERTA;Nuclear;434923.9
2014;10/1/2014;OFERTA;Renovable;76865.2
2014;10/1/2014;OFERTA;Térmica;6492252.0
2014;11/1/2014;OFERTA;Hidráulica;3643185.0
2014;11/1/2014;OFERTA;Importacion;230679.3
2014;11/1/2014;OFERTA;Nuclear;327491.2
2014;11/1/2014;OFERTA;Renovable;78389.8
2014;11/1/2014;OFERTA;Térmica;6483814.3
2014;12/1/2014;OFERTA;Hidráulica;3398301.2
2014;12/1/2014;OFERTA;Importacion;101942.6
2014;12/1/2014;OFERTA;Nuclear;567074.1
2014;12/1/2014;OFERTA;Renovable;74696.1
2014;12/1/2014;OFERTA;Térmica;7492071.8
2015;1/1/2015;OFERTA;Hidráulica;3397673.3
2015;1/1/2015;OFERTA;Importacion;163924.8
2015;1/1/2015;OFERTA;Nuclear;548514.1
2015;1/1/2015;OFERTA;Renovable;68786.6
2015;1/1/2015;OFERTA;Térmica;7931106.3
2015;2/1/2015;OFERTA;Hidráulica;2711992.1
2015;2/1/2015;OFERTA;Importacion;15617.3
2015;2/1/2015;OFERTA;Nuclear;598535.6
2015;2/1/2015;OFERTA;Renovable;57829.6
2015;2/1/2015;OFERTA;Térmica;7586553.2
2015;3/1/2015;OFERTA;Hidráulica;2855764.2
2015;3/1/2015;OFERTA;Importacion;15820.4
2015;3/1/2015;OFERTA;Nuclear;619935.7
2015;3/1/2015;OFERTA;Renovable;66512.1
2015;3/1/2015;OFERTA;Térmica;8324354.7
2015;4/1/2015;OFERTA;Hidráulica;2586939.8
2015;4/1/2015;OFERTA;Importacion;12370.6
2015;4/1/2015;OFERTA;Nuclear;349457.3
2015;4/1/2015;OFERTA;Renovable;74318.7
2015;4/1/2015;OFERTA;Térmica;7284703.9
2015;5/1/2015;OFERTA;Hidráulica;2576375.3
2015;5/1/2015;OFERTA;Importacion;12879.2
2015;5/1/2015;OFERTA;Nuclear;333135.7
2015;5/1/2015;OFERTA;Renovable;68258.7
2015;5/1/2015;OFERTA;Térmica;7848760.5
2015;6/1/2015;OFERTA;Hidráulica;3558813.1
2015;6/1/2015;OFERTA;Importacion;12955.7
2015;6/1/2015;OFERTA;Nuclear;416137.4
2015;6/1/2015;OFERTA;Renovable;84481.4
2015;6/1/2015;OFERTA;Térmica;7609701.9
2015;7/1/2015;OFERTA;Hidráulica;4130387.6
2015;7/1/2015;OFERTA;Importacion;171562.5
2015;7/1/2015;OFERTA;Nuclear;863909.5
2015;7/1/2015;OFERTA;Renovable;88370.4
2015;7/1/2015;OFERTA;Térmica;7120400.7
2015;8/1/2015;OFERTA;Hidráulica;4283453.4
2015;8/1/2015;OFERTA;Importacion;124301.8
2015;8/1/2015;OFERTA;Nuclear;596447.0
2015;8/1/2015;OFERTA;Renovable;85184.0
2015;8/1/2015;OFERTA;Térmica;6512885.1
2015;9/1/2015;OFERTA;Hidráulica;4243289.1
2015;9/1/2015;OFERTA;Importacion;53225.4
2015;9/1/2015;OFERTA;Nuclear;376651.9
2015;9/1/2015;OFERTA;Renovable;83579.0
2015;9/1/2015;OFERTA;Térmica;6279157.4
2015;10/1/2015;OFERTA;Hidráulica;4218103.7
2015;10/1/2015;OFERTA;Importacion;451789.0
2015;10/1/2015;OFERTA;Nuclear;243060.8
2015;10/1/2015;OFERTA;Renovable;88052.1
2015;10/1/2015;OFERTA;Térmica;6155727.3
2015;11/1/2015;OFERTA;Hidráulica;3193145.9
2015;11/1/2015;OFERTA;Importacion;493672.6
2015;11/1/2015;OFERTA;Nuclear;614675.5
2015;11/1/2015;OFERTA;Renovable;72995.9
2015;11/1/2015;OFERTA;Térmica;6213966.4
2015;12/1/2015;OFERTA;Hidráulica;3707165.6
2015;12/1/2015;OFERTA;Importacion;126517.7
2015;12/1/2015;OFERTA;Nuclear;958064.2
2015;12/1/2015;OFERTA;Renovable;78124.4
2015;12/1/2015;OFERTA;Térmica;7448937.0
2012;1/1/2012;DEMANDA;Gran Usuario;2017838.2
2012;1/1/2012;DEMANDA;Distribuidor;8786861.6
2012;1/1/2012;DEMANDA;Bombeo;93603.1
2012;1/1/2012;DEMANDA;Exportacion;45802.3
2012;1/1/2012;DEMANDA;Perdidas;302422.5
2012;2/1/2012;DEMANDA;Gran Usuario;2023988.1
2012;2/1/2012;DEMANDA;Distribuidor;8061564.1
2012;2/1/2012;DEMANDA;Bombeo;82674.8
2012;2/1/2012;DEMANDA;Exportacion;6961.1
2012;2/1/2012;DEMANDA;Perdidas;298872.4
2012;3/1/2012;DEMANDA;Gran Usuario;2233692.4
2012;3/1/2012;DEMANDA;Distribuidor;7941672.6
2012;3/1/2012;DEMANDA;Bombeo;67620.2
2012;3/1/2012;DEMANDA;Exportacion;64341.0
2012;3/1/2012;DEMANDA;Perdidas;308464.3
2012;4/1/2012;DEMANDA;Gran Usuario;2060515.2
2012;4/1/2012;DEMANDA;Distribuidor;6908553.2
2012;4/1/2012;DEMANDA;Bombeo;30693.4
2012;4/1/2012;DEMANDA;Exportacion;16040.3
2012;4/1/2012;DEMANDA;Perdidas;279477.3
2012;5/1/2012;DEMANDA;Gran Usuario;2188343.1
2012;5/1/2012;DEMANDA;Distribuidor;7408928.9
2012;5/1/2012;DEMANDA;Bombeo;69023.9
2012;5/1/2012;DEMANDA;Exportacion;124582.1
2012;5/1/2012;DEMANDA;Perdidas;292766.9
2012;6/1/2012;DEMANDA;Gran Usuario;2145905.3
2012;6/1/2012;DEMANDA;Distribuidor;8146277.1
2012;6/1/2012;DEMANDA;Bombeo;58126.6
2012;6/1/2012;DEMANDA;Exportacion;94544.8
2012;6/1/2012;DEMANDA;Perdidas;357841.5
2012;7/1/2012;DEMANDA;Gran Usuario;2111242.0
2012;7/1/2012;DEMANDA;Distribuidor;8955288.8
2012;7/1/2012;DEMANDA;Bombeo;64959.3
2012;7/1/2012;DEMANDA;Exportacion;0.0
2012;7/1/2012;DEMANDA;Perdidas;381802.9
2012;8/1/2012;DEMANDA;Gran Usuario;2193077.5
2012;8/1/2012;DEMANDA;Distribuidor;8211043.3
2012;8/1/2012;DEMANDA;Bombeo;30243.5
2012;8/1/2012;DEMANDA;Exportacion;0.0
2012;8/1/2012;DEMANDA;Perdidas;327658.2
2012;9/1/2012;DEMANDA;Gran Usuario;2171690.2
2012;9/1/2012;DEMANDA;Distribuidor;7165201.3
2012;9/1/2012;DEMANDA;Bombeo;41070.4
2012;9/1/2012;DEMANDA;Exportacion;104.8
2012;9/1/2012;DEMANDA;Perdidas;266156.9
2012;10/1/2012;DEMANDA;Gran Usuario;2284135.5
2012;10/1/2012;DEMANDA;Distribuidor;7324120.6
2012;10/1/2012;DEMANDA;Bombeo;43262.9
2012;10/1/2012;DEMANDA;Exportacion;0.0
2012;10/1/2012;DEMANDA;Perdidas;293065.8
2012;11/1/2012;DEMANDA;Gran Usuario;2286176.2
2012;11/1/2012;DEMANDA;Distribuidor;7741564.5
2012;11/1/2012;DEMANDA;Bombeo;79585.1
2012;11/1/2012;DEMANDA;Exportacion;0.0
2012;11/1/2012;DEMANDA;Perdidas;306261.9
2012;12/1/2012;DEMANDA;Gran Usuario;2208114.5
2012;12/1/2012;DEMANDA;Distribuidor;8612624.8
2012;12/1/2012;DEMANDA;Bombeo;61900.9
2012;12/1/2012;DEMANDA;Exportacion;26.9
2012;12/1/2012;DEMANDA;Perdidas;305779.8
2013;1/1/2013;DEMANDA;Gran Usuario;2200647.9
2013;1/1/2013;DEMANDA;Distribuidor;8933471.4
2013;1/1/2013;DEMANDA;Bombeo;22415.9
2013;1/1/2013;DEMANDA;Exportacion;4.5
2013;1/1/2013;DEMANDA;Perdidas;314085.7
2013;2/1/2013;DEMANDA;Gran Usuario;2069873.7
2013;2/1/2013;DEMANDA;Distribuidor;7764286.3
2013;2/1/2013;DEMANDA;Bombeo;56695.5
2013;2/1/2013;DEMANDA;Exportacion;136.2
2013;2/1/2013;DEMANDA;Perdidas;286836.5
2013;3/1/2013;DEMANDA;Gran Usuario;2251028.2
2013;3/1/2013;DEMANDA;Distribuidor;7505101.2
2013;3/1/2013;DEMANDA;Bombeo;39453.5
2013;3/1/2013;DEMANDA;Exportacion;4.2
2013;3/1/2013;DEMANDA;Perdidas;299179.7
2013;4/1/2013;DEMANDA;Gran Usuario;2224308.8
2013;4/1/2013;DEMANDA;Distribuidor;7083025.4
2013;4/1/2013;DEMANDA;Bombeo;71541.5
2013;4/1/2013;DEMANDA;Exportacion;13.9
2013;4/1/2013;DEMANDA;Perdidas;293663.6
2013;5/1/2013;DEMANDA;Gran Usuario;2306464.4
2013;5/1/2013;DEMANDA;Distribuidor;7926361.0
2013;5/1/2013;DEMANDA;Bombeo;36993.4
2013;5/1/2013;DEMANDA;Exportacion;53.0
2013;5/1/2013;DEMANDA;Perdidas;333284.3
2013;6/1/2013;DEMANDA;Gran Usuario;2119563.6
2013;6/1/2013;DEMANDA;Distribuidor;8240973.6
2013;6/1/2013;DEMANDA;Bombeo;29594.7
2013;6/1/2013;DEMANDA;Exportacion;3.2
2013;6/1/2013;DEMANDA;Perdidas;311248.8
2013;7/1/2013;DEMANDA;Gran Usuario;2137923.0
2013;7/1/2013;DEMANDA;Distribuidor;9018250.4
2013;7/1/2013;DEMANDA;Bombeo;38684.6
2013;7/1/2013;DEMANDA;Exportacion;0.0
2013;7/1/2013;DEMANDA;Perdidas;376316.2
2013;8/1/2013;DEMANDA;Gran Usuario;2205305.4
2013;8/1/2013;DEMANDA;Distribuidor;8699173.8
2013;8/1/2013;DEMANDA;Bombeo;24372.0
2013;8/1/2013;DEMANDA;Exportacion;210.0
2013;8/1/2013;DEMANDA;Perdidas;346572.9
2013;9/1/2013;DEMANDA;Gran Usuario;2215042.7
2013;9/1/2013;DEMANDA;Distribuidor;7980830.3
2013;9/1/2013;DEMANDA;Bombeo;27557.5
2013;9/1/2013;DEMANDA;Exportacion;4.1
2013;9/1/2013;DEMANDA;Perdidas;400447.6
2013;10/1/2013;DEMANDA;Gran Usuario;2332955.0
2013;10/1/2013;DEMANDA;Distribuidor;7712760.7
2013;10/1/2013;DEMANDA;Bombeo;36068.3
2013;10/1/2013;DEMANDA;Exportacion;0.0
2013;10/1/2013;DEMANDA;Perdidas;352600.5
2013;11/1/2013;DEMANDA;Gran Usuario;2244139.1
2013;11/1/2013;DEMANDA;Distribuidor;7771562.6
2013;11/1/2013;DEMANDA;Bombeo;55244.0
2013;11/1/2013;DEMANDA;Exportacion;0.0
2013;11/1/2013;DEMANDA;Perdidas;346323.4
2013;12/1/2013;DEMANDA;Gran Usuario;2179804.3
2013;12/1/2013;DEMANDA;Distribuidor;10111482.2
2013;12/1/2013;DEMANDA;Bombeo;61068.2
2013;12/1/2013;DEMANDA;Exportacion;9.4
2013;12/1/2013;DEMANDA;Perdidas;425421.2
2014;1/1/2014;DEMANDA;Gran Usuario;2152581.5
2014;1/1/2014;DEMANDA;Distribuidor;9851760.9
2014;1/1/2014;DEMANDA;Bombeo;75366.6
2014;1/1/2014;DEMANDA;Exportacion;8.4
2014;1/1/2014;DEMANDA;Perdidas;376696.2
2014;2/1/2014;DEMANDA;Gran Usuario;2066731.9
2014;2/1/2014;DEMANDA;Distribuidor;7757236.3
2014;2/1/2014;DEMANDA;Bombeo;54277.8
2014;2/1/2014;DEMANDA;Exportacion;0.0
2014;2/1/2014;DEMANDA;Perdidas;301937.5
2014;3/1/2014;DEMANDA;Gran Usuario;2178794.2
2014;3/1/2014;DEMANDA;Distribuidor;7611004.6
2014;3/1/2014;DEMANDA;Bombeo;6910.9
2014;3/1/2014;DEMANDA;Exportacion;0.0
2014;3/1/2014;DEMANDA;Perdidas;319913.9
2014;4/1/2014;DEMANDA;Gran Usuario;2180984.9
2014;4/1/2014;DEMANDA;Distribuidor;7414389.4
2014;4/1/2014;DEMANDA;Bombeo;21878.4
2014;4/1/2014;DEMANDA;Exportacion;132.6
2014;4/1/2014;DEMANDA;Perdidas;338510.6
2014;5/1/2014;DEMANDA;Gran Usuario;2220945.1
2014;5/1/2014;DEMANDA;Distribuidor;8188159.9
2014;5/1/2014;DEMANDA;Bombeo;39157.3
2014;5/1/2014;DEMANDA;Exportacion;28.6
2014;5/1/2014;DEMANDA;Perdidas;348869.9
2014;6/1/2014;DEMANDA;Gran Usuario;2115057.3
2014;6/1/2014;DEMANDA;Distribuidor;8786657.7
2014;6/1/2014;DEMANDA;Bombeo;41369.1
2014;6/1/2014;DEMANDA;Exportacion;0.0
2014;6/1/2014;DEMANDA;Perdidas;371640.8
2014;7/1/2014;DEMANDA;Gran Usuario;2127407.3
2014;7/1/2014;DEMANDA;Distribuidor;9236534.8
2014;7/1/2014;DEMANDA;Bombeo;54650.7
2014;7/1/2014;DEMANDA;Exportacion;4525.6
2014;7/1/2014;DEMANDA;Perdidas;360915.1
2014;8/1/2014;DEMANDA;Gran Usuario;2092042.1
2014;8/1/2014;DEMANDA;Distribuidor;8398640.3
2014;8/1/2014;DEMANDA;Bombeo;21753.1
2014;8/1/2014;DEMANDA;Exportacion;222.1
2014;8/1/2014;DEMANDA;Perdidas;389185.3
2014;9/1/2014;DEMANDA;Gran Usuario;2123414.8
2014;9/1/2014;DEMANDA;Distribuidor;7684129.4
2014;9/1/2014;DEMANDA;Bombeo;18748.8
2014;9/1/2014;DEMANDA;Exportacion;196.5
2014;9/1/2014;DEMANDA;Perdidas;351281.7
2014;10/1/2014;DEMANDA;Gran Usuario;2285861.3
2014;10/1/2014;DEMANDA;Distribuidor;8420631.8
2014;10/1/2014;DEMANDA;Bombeo;46182.2
2014;10/1/2014;DEMANDA;Exportacion;37.0
2014;10/1/2014;DEMANDA;Perdidas;369935.1
2014;11/1/2014;DEMANDA;Gran Usuario;2234924.3
2014;11/1/2014;DEMANDA;Distribuidor;8109812.4
2014;11/1/2014;DEMANDA;Bombeo;57350.7
2014;11/1/2014;DEMANDA;Exportacion;535.1
2014;11/1/2014;DEMANDA;Perdidas;360937.1
2014;12/1/2014;DEMANDA;Gran Usuario;2212858.8
2014;12/1/2014;DEMANDA;Distribuidor;9016519.0
2014;12/1/2014;DEMANDA;Bombeo;47534.8
2014;12/1/2014;DEMANDA;Exportacion;0.0
2014;12/1/2014;DEMANDA;Perdidas;357173.2
2015;1/1/2015;DEMANDA;Gran Usuario;2123902.7
2015;1/1/2015;DEMANDA;Distribuidor;9582287.4
2015;1/1/2015;DEMANDA;Bombeo;39639.2
2015;1/1/2015;DEMANDA;Exportacion;6370.5
2015;1/1/2015;DEMANDA;Perdidas;357805.4
